id,location,fault_severity,event_type,severity_type,log_feature,volume,resource_type
5064,location 1090,0,event_type 11,severity_type 1,feature 202,10,resource_type 8
11530,location 522,0,event_type 35,severity_type 2,feature 312,3,resource_type 2
14860,location 1007,0,event_type 15,severity_type 1,feature 80,2,resource_type 8
13166,location 836,0,event_type 11,severity_type 1,feature 73,1,resource_type 8
14528,location 145,0,event_type 34,severity_type 2,feature 232,2,resource_type 2
4202,location 895,1,event_type 44,severity_type 2,feature 376,5,resource_type 2
3916,location 1020,1,event_type 11,severity_type 1,feature 209,2,resource_type 8
11454,location 804,1,event_type 20,severity_type 1,feature 219,1,resource_type 2
12297,location 1055,0,event_type 11,severity_type 1,feature 193,81,resource_type 8
553,location 798,0,event_type 11,severity_type 1,feature 82,38,resource_type 8
10390,location 1052,1,event_type 15,severity_type 1,feature 82,12,resource_type 8
5056,location 122,0,event_type 34,severity_type 2,feature 313,3,resource_type 2
10503,location 157,0,event_type 35,severity_type 2,feature 232,1,resource_type 2
1835,location 802,1,event_type 18,severity_type 1,feature 68,3,resource_type 8
10085,location 242,0,event_type 34,severity_type 2,feature 314,71,resource_type 2
13807,location 893,0,event_type 43,severity_type 1,feature 376,30,resource_type 2
11318,location 457,0,event_type 35,severity_type 2,feature 233,35,resource_type 2
533,location 99,0,event_type 35,severity_type 4,feature 312,1,resource_type 2
10538,location 839,1,event_type 11,severity_type 1,feature 54,49,resource_type 8
11549,location 719,0,event_type 20,severity_type 1,feature 134,1,resource_type 2
16900,location 793,0,event_type 11,severity_type 1,feature 195,2,resource_type 8
599,location 1109,0,event_type 20,severity_type 1,feature 134,1,resource_type 2
11700,location 648,0,event_type 11,severity_type 1,feature 54,3,resource_type 4
18331,location 957,0,event_type 11,severity_type 2,feature 171,1,resource_type 8
5381,location 600,2,event_type 15,severity_type 2,feature 203,8,resource_type 8
13638,location 665,0,event_type 11,severity_type 1,feature 55,16,resource_type 8
2703,location 846,0,event_type 15,severity_type 2,feature 82,2,resource_type 8
13686,location 1107,0,event_type 15,severity_type 2,feature 193,1,resource_type 8
6240,location 1052,2,event_type 15,severity_type 1,feature 203,4,resource_type 2
8546,location 1107,0,event_type 11,severity_type 1,feature 71,15,resource_type 8
4578,location 948,0,event_type 11,severity_type 2,feature 170,1,resource_type 8
15870,location 646,0,event_type 11,severity_type 1,feature 203,10,resource_type 8
17084,location 302,0,event_type 35,severity_type 4,feature 301,1,resource_type 2
4114,location 273,0,event_type 11,severity_type 1,feature 68,1,resource_type 8
8011,location 1,0,event_type 15,severity_type 2,feature 68,7,resource_type 8
6588,location 124,0,event_type 35,severity_type 2,feature 315,3,resource_type 2
12490,location 704,2,event_type 11,severity_type 1,feature 71,1,resource_type 8
3975,location 476,0,event_type 35,severity_type 2,feature 312,5,resource_type 2
4720,location 152,0,event_type 35,severity_type 2,feature 312,3,resource_type 2
15209,location 734,0,event_type 15,severity_type 1,feature 193,4,resource_type 8
6092,location 1076,1,event_type 15,severity_type 2,feature 56,1,resource_type 8
9426,location 798,0,event_type 11,severity_type 1,feature 203,12,resource_type 8
2307,location 520,0,event_type 34,severity_type 2,feature 312,12,resource_type 2
13291,location 1046,0,event_type 11,severity_type 1,feature 345,2,resource_type 8
17245,location 803,1,event_type 11,severity_type 2,feature 68,1,resource_type 8
11726,location 963,0,event_type 11,severity_type 1,feature 195,129,resource_type 8
15486,location 821,0,event_type 15,severity_type 1,feature 193,1,resource_type 8
9033,location 1061,2,event_type 11,severity_type 1,feature 80,4,resource_type 8
9959,location 714,0,event_type 11,severity_type 1,feature 68,4,resource_type 8
3798,location 242,0,event_type 35,severity_type 2,feature 314,13,resource_type 2
15624,location 613,1,event_type 11,severity_type 1,feature 193,5,resource_type 8
5995,location 91,0,event_type 35,severity_type 2,feature 314,1,resource_type 2
9644,location 1007,0,event_type 11,severity_type 1,feature 201,3,resource_type 8
10779,location 300,0,event_type 34,severity_type 2,feature 312,13,resource_type 2
9734,location 272,1,event_type 34,severity_type 2,feature 312,1,resource_type 2
14954,location 1106,1,event_type 11,severity_type 1,feature 54,13,resource_type 8
15493,location 611,0,event_type 20,severity_type 1,feature 134,2,resource_type 2
6222,location 724,1,event_type 11,severity_type 1,feature 68,1,resource_type 8
17390,location 173,1,event_type 34,severity_type 2,feature 233,1,resource_type 2
6826,location 943,1,event_type 11,severity_type 1,feature 68,1,resource_type 8
8611,location 821,2,event_type 11,severity_type 1,feature 82,21,resource_type 8
9087,location 795,0,event_type 15,severity_type 2,feature 51,13,resource_type 8
17472,location 733,1,event_type 11,severity_type 1,feature 206,2,resource_type 8
12760,location 249,0,event_type 34,severity_type 2,feature 232,2,resource_type 2
4963,location 704,2,event_type 15,severity_type 2,feature 203,9,resource_type 8
6225,location 821,1,event_type 11,severity_type 1,feature 74,1,resource_type 8
7959,location 802,0,event_type 13,severity_type 1,feature 345,2,resource_type 6
1773,location 957,1,event_type 54,severity_type 1,feature 202,2,resource_type 2
6136,location 408,1,event_type 34,severity_type 2,feature 315,2,resource_type 2
5965,location 723,1,event_type 11,severity_type 1,feature 209,2,resource_type 8
5390,location 255,0,event_type 35,severity_type 2,feature 312,4,resource_type 2
13663,location 655,2,event_type 11,severity_type 1,feature 158,14,resource_type 8
4501,location 888,0,event_type 20,severity_type 1,feature 134,2,resource_type 2
13442,location 704,1,event_type 15,severity_type 2,feature 82,8,resource_type 8
6958,location 989,0,event_type 11,severity_type 2,feature 68,1,resource_type 8
16339,location 1015,0,event_type 11,severity_type 1,feature 54,4,resource_type 8
9372,location 1019,0,event_type 15,severity_type 1,feature 196,22,resource_type 8
5576,location 692,1,event_type 11,severity_type 1,feature 170,1,resource_type 8
663,location 653,0,event_type 54,severity_type 1,feature 82,27,resource_type 2
1473,location 945,1,event_type 11,severity_type 1,feature 202,4,resource_type 8
949,location 651,0,event_type 11,severity_type 1,feature 83,1,resource_type 8
10513,location 1106,0,event_type 11,severity_type 1,feature 54,1,resource_type 8
14289,location 763,1,event_type 11,severity_type 1,feature 196,2,resource_type 8
15260,location 416,0,event_type 35,severity_type 4,feature 301,2,resource_type 2
9812,location 830,0,event_type 11,severity_type 1,feature 54,108,resource_type 8
4916,location 704,2,event_type 15,severity_type 2,feature 82,14,resource_type 8
17515,location 1024,2,event_type 11,severity_type 1,feature 42,7,resource_type 8
17388,location 497,0,event_type 35,severity_type 2,feature 232,2,resource_type 2
4450,location 890,0,event_type 11,severity_type 2,feature 73,3,resource_type 8
16258,location 849,0,event_type 11,severity_type 2,feature 109,13,resource_type 8
10528,location 208,0,event_type 20,severity_type 1,feature 219,1,resource_type 2
4003,location 255,1,event_type 34,severity_type 2,feature 312,3,resource_type 2
3954,location 139,1,event_type 20,severity_type 1,feature 313,1,resource_type 2
13945,location 914,1,event_type 23,severity_type 1,feature 306,1,resource_type 4
15607,location 326,0,event_type 21,severity_type 1,feature 135,2,resource_type 2
11897,location 937,0,event_type 11,severity_type 1,feature 204,2,resource_type 8
12609,location 1086,0,event_type 15,severity_type 2,feature 82,10,resource_type 8
10122,location 506,0,event_type 35,severity_type 2,feature 313,6,resource_type 2
7886,location 149,0,event_type 35,severity_type 4,feature 307,1,resource_type 2
15771,location 846,0,event_type 15,severity_type 2,feature 82,8,resource_type 8
17681,location 865,0,event_type 11,severity_type 1,feature 54,2,resource_type 8
15863,location 925,2,event_type 11,severity_type 1,feature 170,12,resource_type 8
17690,location 798,1,event_type 15,severity_type 2,feature 203,5,resource_type 8
8606,location 243,0,event_type 34,severity_type 2,feature 234,63,resource_type 2
11362,location 193,0,event_type 35,severity_type 2,feature 314,1,resource_type 2
4604,location 723,0,event_type 11,severity_type 1,feature 87,1,resource_type 8
5480,location 471,0,event_type 34,severity_type 2,feature 233,2,resource_type 2
12277,location 1107,2,event_type 11,severity_type 1,feature 82,129,resource_type 8
1400,location 375,0,event_type 34,severity_type 2,feature 313,5,resource_type 2
6687,location 91,0,event_type 35,severity_type 2,feature 235,289,resource_type 2
11153,location 1047,0,event_type 11,severity_type 2,feature 55,2,resource_type 8
8313,location 798,2,event_type 15,severity_type 2,feature 82,37,resource_type 8
5787,location 490,0,event_type 35,severity_type 2,feature 312,1,resource_type 2
741,location 1051,0,event_type 11,severity_type 1,feature 207,1,resource_type 8
16502,location 763,0,event_type 15,severity_type 2,feature 82,12,resource_type 8
4036,location 896,0,event_type 42,severity_type 1,feature 375,8,resource_type 2
5029,location 1011,0,event_type 20,severity_type 1,feature 134,1,resource_type 2
18158,location 834,1,event_type 15,severity_type 2,feature 203,4,resource_type 8
18441,location 118,0,event_type 35,severity_type 2,feature 312,16,resource_type 2
4268,location 97,0,event_type 35,severity_type 4,feature 312,2,resource_type 2
4092,location 1019,0,event_type 15,severity_type 1,feature 82,12,resource_type 8
16819,location 226,0,event_type 35,severity_type 4,feature 312,1,resource_type 2
7774,location 962,2,event_type 15,severity_type 2,feature 203,4,resource_type 8
5824,location 885,0,event_type 11,severity_type 2,feature 70,1,resource_type 8
7295,location 821,1,event_type 11,severity_type 1,feature 193,1,resource_type 8
18146,location 812,0,event_type 11,severity_type 1,feature 18,2,resource_type 8
17409,location 816,2,event_type 13,severity_type 1,feature 170,154,resource_type 8
6095,location 638,0,event_type 42,severity_type 4,feature 376,4,resource_type 2
9032,location 945,0,event_type 11,severity_type 1,feature 191,6,resource_type 8
5210,location 468,0,event_type 34,severity_type 2,feature 312,12,resource_type 2
11177,location 380,0,event_type 35,severity_type 2,feature 312,3,resource_type 2
12324,location 1109,1,event_type 11,severity_type 1,feature 273,2,resource_type 8
1697,location 1122,0,event_type 20,severity_type 1,feature 219,1,resource_type 2
3106,location 1098,1,event_type 11,severity_type 2,feature 207,1,resource_type 8
7824,location 376,0,event_type 34,severity_type 1,feature 221,1,resource_type 2
2588,location 1,0,event_type 15,severity_type 1,feature 82,9,resource_type 8
13644,location 303,0,event_type 35,severity_type 4,feature 312,1,resource_type 2
13082,location 126,0,event_type 34,severity_type 2,feature 227,6,resource_type 2
8150,location 520,0,event_type 35,severity_type 2,feature 232,9,resource_type 2
6234,location 734,0,event_type 11,severity_type 1,feature 71,5,resource_type 8
10350,location 507,0,event_type 35,severity_type 2,feature 312,27,resource_type 2
13538,location 709,0,event_type 11,severity_type 1,feature 73,2,resource_type 8
2338,location 466,0,event_type 35,severity_type 2,feature 234,2,resource_type 2
17947,location 466,0,event_type 35,severity_type 2,feature 228,2,resource_type 2
9786,location 12,0,event_type 15,severity_type 2,feature 178,1,resource_type 8
9514,location 1102,0,event_type 11,severity_type 2,feature 65,2,resource_type 8
13670,location 998,0,event_type 11,severity_type 2,feature 54,1,resource_type 8
15482,location 727,0,event_type 11,severity_type 1,feature 209,1,resource_type 8
12517,location 76,1,event_type 11,severity_type 1,feature 171,2,resource_type 8
411,location 734,1,event_type 11,severity_type 1,feature 80,3,resource_type 8
10237,location 830,0,event_type 11,severity_type 1,feature 170,31,resource_type 8
12734,location 798,0,event_type 11,severity_type 1,feature 203,6,resource_type 8
10863,location 309,0,event_type 34,severity_type 2,feature 232,2,resource_type 2
11390,location 737,0,event_type 11,severity_type 2,feature 42,2,resource_type 8
5260,location 1111,0,event_type 11,severity_type 1,feature 207,1,resource_type 8
8244,location 314,1,event_type 34,severity_type 2,feature 313,2,resource_type 2
4161,location 1023,1,event_type 29,severity_type 1,feature 217,1,resource_type 9
16354,location 658,0,event_type 11,severity_type 1,feature 161,1,resource_type 8
15236,location 477,0,event_type 35,severity_type 2,feature 234,36,resource_type 2
14877,location 990,0,event_type 11,severity_type 1,feature 170,4,resource_type 8
4810,location 445,0,event_type 35,severity_type 2,feature 312,9,resource_type 2
4637,location 618,0,event_type 23,severity_type 4,feature 306,2,resource_type 7
14124,location 758,1,event_type 11,severity_type 1,feature 68,1,resource_type 8
4737,location 488,0,event_type 34,severity_type 2,feature 234,2,resource_type 2
5377,location 643,1,event_type 42,severity_type 1,feature 368,2,resource_type 2
14696,location 834,0,event_type 15,severity_type 2,feature 82,24,resource_type 8
2880,location 607,1,event_type 40,severity_type 1,feature 68,3,resource_type 4
17021,location 141,0,event_type 35,severity_type 4,feature 307,1,resource_type 2
11043,location 497,0,event_type 35,severity_type 2,feature 313,27,resource_type 2
6,location 332,1,event_type 34,severity_type 2,feature 227,1,resource_type 2
2380,location 821,1,event_type 54,severity_type 1,feature 82,13,resource_type 8
6563,location 794,0,event_type 14,severity_type 1,feature 306,1,resource_type 7
2273,location 814,0,event_type 11,severity_type 1,feature 70,15,resource_type 8
1743,location 794,1,event_type 23,severity_type 1,feature 223,1,resource_type 4
12919,location 921,2,event_type 15,severity_type 2,feature 82,4,resource_type 8
7922,location 742,0,event_type 54,severity_type 1,feature 201,1,resource_type 2
8201,location 897,0,event_type 50,severity_type 4,feature 374,2,resource_type 2
13659,location 466,0,event_type 35,severity_type 2,feature 307,3,resource_type 2
2861,location 1107,0,event_type 11,severity_type 1,feature 193,1,resource_type 8
17883,location 744,2,event_type 13,severity_type 1,feature 54,13,resource_type 8
17057,location 122,0,event_type 34,severity_type 2,feature 232,1,resource_type 2
12316,location 240,0,event_type 35,severity_type 2,feature 227,2,resource_type 2
12541,location 691,0,event_type 23,severity_type 1,feature 134,1,resource_type 8
363,location 809,0,event_type 11,severity_type 1,feature 71,5,resource_type 8
4166,location 549,1,event_type 39,severity_type 1,feature 171,4,resource_type 8
8354,location 810,0,event_type 15,severity_type 2,feature 193,1,resource_type 8
9160,location 1089,1,event_type 11,severity_type 1,feature 170,7,resource_type 8
1476,location 266,0,event_type 35,severity_type 4,feature 312,2,resource_type 2
8193,location 1010,1,event_type 11,severity_type 1,feature 195,5,resource_type 8
12708,location 1094,1,event_type 11,severity_type 1,feature 74,2,resource_type 8
13410,location 345,0,event_type 11,severity_type 2,feature 44,1,resource_type 2
12066,location 501,0,event_type 35,severity_type 2,feature 315,2,resource_type 2
8570,location 939,0,event_type 11,severity_type 1,feature 193,1,resource_type 8
4204,location 957,0,event_type 11,severity_type 1,feature 55,2,resource_type 8
18290,location 373,0,event_type 34,severity_type 2,feature 232,69,resource_type 2
11441,location 684,2,event_type 15,severity_type 2,feature 203,4,resource_type 8
17975,location 1094,1,event_type 11,severity_type 1,feature 66,1,resource_type 8
11262,location 821,0,event_type 15,severity_type 2,feature 82,14,resource_type 8
3768,location 823,0,event_type 11,severity_type 1,feature 71,5,resource_type 8
11418,location 244,0,event_type 35,severity_type 2,feature 232,52,resource_type 2
13813,location 857,1,event_type 11,severity_type 1,feature 204,2,resource_type 8
1665,location 846,1,event_type 15,severity_type 2,feature 82,17,resource_type 8
4170,location 1065,0,event_type 20,severity_type 1,feature 134,1,resource_type 2
12798,location 1008,0,event_type 15,severity_type 2,feature 82,18,resource_type 8
681,location 1099,0,event_type 11,severity_type 1,feature 70,5,resource_type 8
319,location 1099,0,event_type 11,severity_type 1,feature 202,2,resource_type 8
17956,location 300,0,event_type 34,severity_type 2,feature 313,8,resource_type 2
429,location 793,0,event_type 11,severity_type 1,feature 195,37,resource_type 8
6663,location 906,1,event_type 11,severity_type 1,feature 202,4,resource_type 8
10586,location 404,1,event_type 35,severity_type 1,feature 219,1,resource_type 2
8583,location 1117,0,event_type 11,severity_type 1,feature 55,3,resource_type 8
8030,location 461,0,event_type 35,severity_type 2,feature 312,3,resource_type 2
5099,location 95,0,event_type 35,severity_type 2,feature 230,6,resource_type 2
446,location 1056,1,event_type 11,severity_type 1,feature 170,1,resource_type 6
5725,location 995,1,event_type 15,severity_type 2,feature 203,2,resource_type 8
15436,location 893,0,event_type 42,severity_type 1,feature 368,10,resource_type 2
6758,location 500,0,event_type 35,severity_type 2,feature 315,1,resource_type 2
6449,location 122,0,event_type 35,severity_type 2,feature 313,5,resource_type 2
4552,location 613,1,event_type 54,severity_type 1,feature 203,4,resource_type 8
17865,location 846,0,event_type 15,severity_type 2,feature 203,11,resource_type 8
1645,location 653,1,event_type 15,severity_type 2,feature 203,2,resource_type 8
1308,location 100,0,event_type 34,severity_type 2,feature 230,1,resource_type 2
8781,location 311,1,event_type 34,severity_type 2,feature 312,7,resource_type 2
831,location 126,0,event_type 34,severity_type 2,feature 313,3,resource_type 2
15145,location 1107,0,event_type 15,severity_type 2,feature 71,1,resource_type 8
17654,location 477,0,event_type 34,severity_type 1,feature 211,1,resource_type 8
603,location 507,0,event_type 35,severity_type 2,feature 229,2,resource_type 2
5962,location 390,0,event_type 35,severity_type 2,feature 315,1,resource_type 2
11520,location 756,0,event_type 11,severity_type 1,feature 68,1,resource_type 8
10341,location 90,0,event_type 34,severity_type 2,feature 232,4,resource_type 2
5070,location 684,0,event_type 15,severity_type 1,feature 203,14,resource_type 8
1197,location 479,0,event_type 34,severity_type 2,feature 314,10,resource_type 2
6187,location 734,1,event_type 11,severity_type 1,feature 74,1,resource_type 8
733,location 1106,0,event_type 11,severity_type 1,feature 54,16,resource_type 8
2242,location 124,0,event_type 34,severity_type 2,feature 307,2,resource_type 2
479,location 1025,0,event_type 11,severity_type 1,feature 188,1,resource_type 8
12362,location 473,0,event_type 35,severity_type 2,feature 315,4,resource_type 2
14596,location 314,0,event_type 35,severity_type 2,feature 313,1,resource_type 2
6801,location 1107,1,event_type 11,severity_type 1,feature 203,7,resource_type 8
4896,location 249,1,event_type 11,severity_type 1,feature 160,3,resource_type 8
3287,location 613,1,event_type 11,severity_type 1,feature 203,4,resource_type 8
8377,location 161,1,event_type 34,severity_type 2,feature 312,2,resource_type 2
14233,location 1029,0,event_type 11,severity_type 1,feature 171,2,resource_type 8
5065,location 711,0,event_type 11,severity_type 1,feature 172,2,resource_type 8
6233,location 375,0,event_type 35,severity_type 2,feature 313,50,resource_type 2
4160,location 97,0,event_type 20,severity_type 1,feature 219,1,resource_type 2
16840,location 244,0,event_type 34,severity_type 2,feature 232,31,resource_type 2
18192,location 1054,0,event_type 11,severity_type 1,feature 73,2,resource_type 8
7711,location 974,0,event_type 11,severity_type 2,feature 209,2,resource_type 8
7254,location 810,1,event_type 15,severity_type 1,feature 193,1,resource_type 8
3214,location 734,0,event_type 15,severity_type 1,feature 82,4,resource_type 8
14597,location 1115,1,event_type 11,severity_type 1,feature 73,1,resource_type 8
15086,location 867,2,event_type 11,severity_type 1,feature 204,2,resource_type 8
8686,location 326,0,event_type 21,severity_type 1,feature 308,1,resource_type 2
16989,location 931,2,event_type 20,severity_type 1,feature 203,3,resource_type 1
420,location 686,0,event_type 22,severity_type 1,feature 305,1,resource_type 8
16891,location 242,0,event_type 35,severity_type 2,feature 314,61,resource_type 2
8046,location 899,1,event_type 44,severity_type 1,feature 378,1,resource_type 2
7484,location 202,0,event_type 35,severity_type 1,feature 134,1,resource_type 2
14880,location 923,0,event_type 11,severity_type 1,feature 195,1,resource_type 8
16049,location 894,0,event_type 43,severity_type 1,feature 290,3,resource_type 2
227,location 771,0,event_type 15,severity_type 2,feature 71,2,resource_type 8
1387,location 95,0,event_type 35,severity_type 2,feature 227,1,resource_type 2
12011,location 485,0,event_type 35,severity_type 2,feature 232,5,resource_type 2
6123,location 974,0,event_type 11,severity_type 1,feature 87,2,resource_type 8
8935,location 919,0,event_type 11,severity_type 1,feature 202,2,resource_type 8
2865,location 1009,0,event_type 11,severity_type 1,feature 73,1,resource_type 8
17241,location 814,0,event_type 11,severity_type 2,feature 70,2,resource_type 8
5237,location 973,0,event_type 20,severity_type 1,feature 219,1,resource_type 2
3185,location 120,1,event_type 35,severity_type 2,feature 312,1,resource_type 2
4691,location 504,0,event_type 11,severity_type 1,feature 229,2,resource_type 2
8423,location 500,0,event_type 35,severity_type 2,feature 312,2,resource_type 2
17894,location 1058,0,event_type 11,severity_type 2,feature 68,1,resource_type 8
14642,location 497,0,event_type 34,severity_type 2,feature 312,71,resource_type 2
5292,location 471,0,event_type 34,severity_type 2,feature 233,2,resource_type 2
