id,log_feature,volume
18189,feature 307,1
18189,feature 234,1
18189,feature 313,1
18189,feature 314,1
16795,feature 68,1
17756,feature 54,2
17756,feature 170,2
17756,feature 54,2
17756,feature 170,2
17736,feature 203,2
17736,feature 82,2
17736,feature 203,2
17736,feature 82,2
17758,feature 384,1
17758,feature 299,1
17758,feature 82,2
17758,feature 384,1
17758,feature 299,1
17758,feature 82,2
17758,feature 384,1
17758,feature 299,1
17758,feature 82,2
17869,feature 82,10
17869,feature 203,3
17869,feature 82,10
17869,feature 203,3
16917,feature 80,1
16917,feature 82,1
16917,feature 80,1
16917,feature 82,1
17425,feature 201,7
17425,feature 80,10
17425,feature 203,10
17425,feature 82,48
17425,feature 201,7
17425,feature 80,10
17425,feature 203,10
17425,feature 82,48
17425,feature 201,7
17425,feature 80,10
17425,feature 203,10
17425,feature 82,48
17425,feature 201,7
17425,feature 80,10
17425,feature 203,10
17425,feature 82,48
18486,feature 80,8
18486,feature 82,8
18486,feature 201,2
18486,feature 203,2
18486,feature 80,8
18486,feature 82,8
18486,feature 201,2
18486,feature 203,2
18486,feature 80,8
18486,feature 82,8
18486,feature 201,2
18486,feature 203,2
18486,feature 80,8
18486,feature 82,8
18486,feature 201,2
18486,feature 203,2
17066,feature 82,33
18296,feature 80,2
18296,feature 82,6
18296,feature 80,2
18296,feature 82,6
18376,feature 203,3
18376,feature 82,50
18376,feature 80,1
18376,feature 203,3
18376,feature 82,50
18376,feature 80,1
18376,feature 203,3
18376,feature 82,50
18376,feature 80,1
17963,feature 82,6
17963,feature 300,1
17963,feature 80,2
17963,feature 386,1
17963,feature 203,2
17963,feature 82,6
17963,feature 300,1
17963,feature 80,2
17963,feature 386,1
17963,feature 203,2
17963,feature 82,6
17963,feature 300,1
17963,feature 80,2
17963,feature 386,1
17963,feature 203,2
17963,feature 82,6
17963,feature 300,1
17963,feature 80,2
17963,feature 386,1
17963,feature 203,2
17963,feature 82,6
17963,feature 300,1
17963,feature 80,2
17963,feature 386,1
17963,feature 203,2
17645,feature 80,3
17645,feature 201,1
17645,feature 80,3
17645,feature 201,1
17950,feature 203,8
17950,feature 82,12
17950,feature 201,1
17950,feature 80,2
17950,feature 203,8
17950,feature 82,12
17950,feature 201,1
17950,feature 80,2
17950,feature 203,8
17950,feature 82,12
17950,feature 201,1
17950,feature 80,2
17950,feature 203,8
17950,feature 82,12
17950,feature 201,1
17950,feature 80,2
17731,feature 80,2
17731,feature 203,7
17731,feature 82,15
17731,feature 80,2
17731,feature 203,7
17731,feature 82,15
17731,feature 80,2
17731,feature 203,7
17731,feature 82,15
18077,feature 132,1
18077,feature 217,1
18077,feature 132,1
18077,feature 217,1
17530,feature 195,3
17530,feature 73,6
17530,feature 195,3
17530,feature 73,6
16725,feature 42,3
16725,feature 157,3
16725,feature 42,3
16725,feature 157,3
16681,feature 196,2
16681,feature 74,1
16681,feature 196,2
16681,feature 74,1
16675,feature 74,3
16675,feature 196,3
16675,feature 74,3
16675,feature 196,3
17329,feature 54,2
17329,feature 246,1
17329,feature 170,2
17329,feature 54,2
17329,feature 246,1
17329,feature 170,2
17329,feature 54,2
17329,feature 246,1
17329,feature 170,2
17856,feature 54,2
17856,feature 68,2
17856,feature 273,2
17856,feature 54,2
17856,feature 68,2
17856,feature 273,2
17856,feature 54,2
17856,feature 68,2
17856,feature 273,2
17505,feature 273,1
17505,feature 179,1
17505,feature 68,1
17505,feature 345,1
17505,feature 273,1
17505,feature 179,1
17505,feature 68,1
17505,feature 345,1
17505,feature 273,1
17505,feature 179,1
17505,feature 68,1
17505,feature 345,1
17505,feature 273,1
17505,feature 179,1
17505,feature 68,1
17505,feature 345,1
17062,feature 179,2
17062,feature 68,2
17062,feature 345,2
17062,feature 179,2
17062,feature 68,2
17062,feature 345,2
17062,feature 179,2
17062,feature 68,2
17062,feature 345,2
17852,feature 54,9
17852,feature 170,8
17852,feature 54,9
17852,feature 170,8
17379,feature 54,5
17379,feature 170,1
17379,feature 54,5
17379,feature 170,1
17209,feature 54,1
17209,feature 170,2
17209,feature 54,1
17209,feature 170,2
16741,feature 80,2
17949,feature 80,1
17434,feature 76,1
17434,feature 71,1
17434,feature 76,1
17434,feature 71,1
18407,feature 80,2
18407,feature 201,1
18407,feature 80,2
18407,feature 201,1
17867,feature 201,1
17867,feature 193,2
17867,feature 80,3
17867,feature 71,2
17867,feature 201,1
17867,feature 193,2
17867,feature 80,3
17867,feature 71,2
17867,feature 201,1
17867,feature 193,2
17867,feature 80,3
17867,feature 71,2
17867,feature 201,1
17867,feature 193,2
17867,feature 80,3
17867,feature 71,2
17134,feature 80,3
17833,feature 201,3
17833,feature 80,3
17833,feature 71,1
17833,feature 201,3
17833,feature 80,3
17833,feature 71,1
17833,feature 201,3
17833,feature 80,3
17833,feature 71,1
17931,feature 82,12
17931,feature 203,10
17931,feature 82,12
17931,feature 203,10
17825,feature 82,3
17557,feature 82,15
17557,feature 203,7
17557,feature 82,15
17557,feature 203,7
17801,feature 203,2
17801,feature 82,2
17801,feature 203,2
17801,feature 82,2
17540,feature 82,2
17540,feature 172,1
17540,feature 201,1
17540,feature 82,2
17540,feature 172,1
17540,feature 201,1
17540,feature 82,2
17540,feature 172,1
17540,feature 201,1
17749,feature 203,3
17749,feature 82,6
17749,feature 203,3
17749,feature 82,6
18116,feature 80,5
18116,feature 74,1
18116,feature 196,1
18116,feature 82,2
18116,feature 80,5
18116,feature 74,1
18116,feature 196,1
18116,feature 82,2
18116,feature 80,5
18116,feature 74,1
18116,feature 196,1
18116,feature 82,2
18116,feature 80,5
18116,feature 74,1
18116,feature 196,1
18116,feature 82,2
18176,feature 203,1
18176,feature 82,18
18176,feature 201,1
18176,feature 80,1
18176,feature 203,1
18176,feature 82,18
18176,feature 201,1
18176,feature 80,1
18176,feature 203,1
18176,feature 82,18
18176,feature 201,1
18176,feature 80,1
18176,feature 203,1
18176,feature 82,18
18176,feature 201,1
18176,feature 80,1
17568,feature 80,1
17568,feature 203,2
17568,feature 82,4
17568,feature 80,1
17568,feature 203,2
17568,feature 82,4
17568,feature 80,1
17568,feature 203,2
17568,feature 82,4
17358,feature 228,2
17358,feature 313,1
17358,feature 315,1
17358,feature 230,2
17358,feature 310,3
17358,feature 308,3
17358,feature 228,2
17358,feature 313,1
17358,feature 315,1
17358,feature 230,2
17358,feature 310,3
17358,feature 308,3
17358,feature 228,2
17358,feature 313,1
17358,feature 315,1
17358,feature 230,2
17358,feature 310,3
17358,feature 308,3
17358,feature 228,2
17358,feature 313,1
17358,feature 315,1
17358,feature 230,2
17358,feature 310,3
17358,feature 308,3
17358,feature 228,2
17358,feature 313,1
17358,feature 315,1
17358,feature 230,2
17358,feature 310,3
17358,feature 308,3
17358,feature 228,2
17358,feature 313,1
17358,feature 315,1
17358,feature 230,2
17358,feature 310,3
17358,feature 308,3
18421,feature 312,2
18421,feature 309,1
18421,feature 307,1
18421,feature 233,1
18421,feature 230,1
18421,feature 232,1
18421,feature 228,1
18421,feature 235,1
18421,feature 312,2
18421,feature 309,1
18421,feature 307,1
18421,feature 233,1
18421,feature 230,1
18421,feature 232,1
18421,feature 228,1
18421,feature 235,1
18421,feature 312,2
18421,feature 309,1
18421,feature 307,1
18421,feature 233,1
18421,feature 230,1
18421,feature 232,1
18421,feature 228,1
18421,feature 235,1
18421,feature 312,2
18421,feature 309,1
18421,feature 307,1
18421,feature 233,1
18421,feature 230,1
18421,feature 232,1
18421,feature 228,1
18421,feature 235,1
18421,feature 312,2
18421,feature 309,1
18421,feature 307,1
18421,feature 233,1
18421,feature 230,1
18421,feature 232,1
18421,feature 228,1
18421,feature 235,1
18421,feature 312,2
18421,feature 309,1
18421,feature 307,1
18421,feature 233,1
18421,feature 230,1
18421,feature 232,1
18421,feature 228,1
18421,feature 235,1
18421,feature 312,2
18421,feature 309,1
18421,feature 307,1
18421,feature 233,1
18421,feature 230,1
18421,feature 232,1
18421,feature 228,1
18421,feature 235,1
18421,feature 312,2
18421,feature 309,1
18421,feature 307,1
18421,feature 233,1
18421,feature 230,1
18421,feature 232,1
18421,feature 228,1
18421,feature 235,1
17751,feature 230,1
17751,feature 310,1
17751,feature 228,1
17751,feature 308,1
17751,feature 230,1
17751,feature 310,1
17751,feature 228,1
17751,feature 308,1
17751,feature 230,1
17751,feature 310,1
17751,feature 228,1
17751,feature 308,1
17751,feature 230,1
17751,feature 310,1
17751,feature 228,1
17751,feature 308,1
17647,feature 227,1
17647,feature 312,9
17647,feature 232,7
17647,feature 315,1
17647,feature 307,1
17647,feature 227,1
17647,feature 312,9
17647,feature 232,7
17647,feature 315,1
17647,feature 307,1
17647,feature 227,1
17647,feature 312,9
17647,feature 232,7
17647,feature 315,1
17647,feature 307,1
17647,feature 227,1
17647,feature 312,9
17647,feature 232,7
17647,feature 315,1
17647,feature 307,1
17647,feature 227,1
17647,feature 312,9
17647,feature 232,7
17647,feature 315,1
17647,feature 307,1
16763,feature 312,1
17019,feature 232,3
17019,feature 234,2
17019,feature 235,5
17019,feature 312,3
17019,feature 313,6
17019,feature 230,4
17019,feature 310,4
17019,feature 228,3
17019,feature 233,6
17019,feature 314,2
17019,feature 315,6
17019,feature 308,4
17019,feature 232,3
17019,feature 234,2
17019,feature 235,5
17019,feature 312,3
17019,feature 313,6
17019,feature 230,4
17019,feature 310,4
17019,feature 228,3
17019,feature 233,6
17019,feature 314,2
17019,feature 315,6
17019,feature 308,4
17019,feature 232,3
17019,feature 234,2
17019,feature 235,5
17019,feature 312,3
17019,feature 313,6
17019,feature 230,4
17019,feature 310,4
17019,feature 228,3
17019,feature 233,6
17019,feature 314,2
17019,feature 315,6
17019,feature 308,4
17019,feature 232,3
17019,feature 234,2
17019,feature 235,5
17019,feature 312,3
17019,feature 313,6
17019,feature 230,4
17019,feature 310,4
17019,feature 228,3
17019,feature 233,6
17019,feature 314,2
17019,feature 315,6
17019,feature 308,4
17019,feature 232,3
17019,feature 234,2
17019,feature 235,5
17019,feature 312,3
17019,feature 313,6
17019,feature 230,4
17019,feature 310,4
17019,feature 228,3
17019,feature 233,6
17019,feature 314,2
17019,feature 315,6
17019,feature 308,4
17019,feature 232,3
17019,feature 234,2
17019,feature 235,5
17019,feature 312,3
17019,feature 313,6
17019,feature 230,4
17019,feature 310,4
17019,feature 228,3
17019,feature 233,6
17019,feature 314,2
17019,feature 315,6
17019,feature 308,4
17019,feature 232,3
17019,feature 234,2
17019,feature 235,5
17019,feature 312,3
17019,feature 313,6
17019,feature 230,4
17019,feature 310,4
17019,feature 228,3
17019,feature 233,6
17019,feature 314,2
17019,feature 315,6
17019,feature 308,4
17019,feature 232,3
17019,feature 234,2
17019,feature 235,5
17019,feature 312,3
17019,feature 313,6
17019,feature 230,4
17019,feature 310,4
17019,feature 228,3
17019,feature 233,6
17019,feature 314,2
17019,feature 315,6
17019,feature 308,4
17019,feature 232,3
17019,feature 234,2
17019,feature 235,5
17019,feature 312,3
17019,feature 313,6
17019,feature 230,4
17019,feature 310,4
17019,feature 228,3
17019,feature 233,6
17019,feature 314,2
17019,feature 315,6
17019,feature 308,4
17019,feature 232,3
17019,feature 234,2
17019,feature 235,5
17019,feature 312,3
17019,feature 313,6
17019,feature 230,4
17019,feature 310,4
17019,feature 228,3
17019,feature 233,6
17019,feature 314,2
17019,feature 315,6
17019,feature 308,4
17019,feature 232,3
17019,feature 234,2
17019,feature 235,5
17019,feature 312,3
17019,feature 313,6
17019,feature 230,4
17019,feature 310,4
17019,feature 228,3
17019,feature 233,6
17019,feature 314,2
17019,feature 315,6
17019,feature 308,4
17019,feature 232,3
17019,feature 234,2
17019,feature 235,5
17019,feature 312,3
17019,feature 313,6
17019,feature 230,4
17019,feature 310,4
17019,feature 228,3
17019,feature 233,6
17019,feature 314,2
17019,feature 315,6
17019,feature 308,4
18408,feature 170,3
18408,feature 54,2
18408,feature 170,3
18408,feature 54,2
18388,feature 54,3
18388,feature 170,3
18388,feature 54,3
18388,feature 170,3
18131,feature 73,6
18249,feature 73,1
18249,feature 195,4
18249,feature 73,1
18249,feature 195,4
17605,feature 73,8
17605,feature 195,5
17605,feature 73,8
17605,feature 195,5
16724,feature 74,1
17416,feature 74,2
17416,feature 188,2
17416,feature 196,2
17416,feature 66,2
17416,feature 74,2
17416,feature 188,2
17416,feature 196,2
17416,feature 66,2
17416,feature 74,2
17416,feature 188,2
17416,feature 196,2
17416,feature 66,2
17416,feature 74,2
17416,feature 188,2
17416,feature 196,2
17416,feature 66,2
17853,feature 74,4
17853,feature 196,4
17853,feature 74,4
17853,feature 196,4
16818,feature 74,4
16818,feature 196,3
16818,feature 74,4
16818,feature 196,3
17533,feature 74,1
17533,feature 196,1
17533,feature 188,2
17533,feature 66,4
17533,feature 360,1
17533,feature 362,1
17533,feature 74,1
17533,feature 196,1
17533,feature 188,2
17533,feature 66,4
17533,feature 360,1
17533,feature 362,1
17533,feature 74,1
17533,feature 196,1
17533,feature 188,2
17533,feature 66,4
17533,feature 360,1
17533,feature 362,1
17533,feature 74,1
17533,feature 196,1
17533,feature 188,2
17533,feature 66,4
17533,feature 360,1
17533,feature 362,1
17533,feature 74,1
17533,feature 196,1
17533,feature 188,2
17533,feature 66,4
17533,feature 360,1
17533,feature 362,1
17533,feature 74,1
17533,feature 196,1
17533,feature 188,2
17533,feature 66,4
17533,feature 360,1
17533,feature 362,1
17448,feature 54,4
17448,feature 345,1
17448,feature 179,3
17448,feature 170,3
17448,feature 68,4
17448,feature 273,4
17448,feature 54,4
17448,feature 345,1
17448,feature 179,3
17448,feature 170,3
17448,feature 68,4
17448,feature 273,4
17448,feature 54,4
17448,feature 345,1
17448,feature 179,3
17448,feature 170,3
17448,feature 68,4
17448,feature 273,4
17448,feature 54,4
17448,feature 345,1
17448,feature 179,3
17448,feature 170,3
17448,feature 68,4
17448,feature 273,4
17448,feature 54,4
17448,feature 345,1
17448,feature 179,3
17448,feature 170,3
17448,feature 68,4
17448,feature 273,4
17448,feature 54,4
17448,feature 345,1
17448,feature 179,3
17448,feature 170,3
17448,feature 68,4
17448,feature 273,4
17567,feature 170,2
17567,feature 68,2
17567,feature 54,2
17567,feature 170,2
17567,feature 68,2
17567,feature 54,2
17567,feature 170,2
17567,feature 68,2
17567,feature 54,2
16865,feature 273,1
16865,feature 68,2
16865,feature 273,1
16865,feature 68,2
16982,feature 170,3
16982,feature 54,3
16982,feature 170,3
16982,feature 54,3
18544,feature 170,1
18544,feature 54,1
18544,feature 170,1
18544,feature 54,1
18197,feature 54,5
18197,feature 170,6
18197,feature 54,5
18197,feature 170,6
16899,feature 54,2
18494,feature 54,5
18494,feature 170,8
18494,feature 54,5
18494,feature 170,8
17643,feature 48,1
17643,feature 207,1
17643,feature 164,1
17643,feature 170,3
17643,feature 86,1
17643,feature 54,3
17643,feature 48,1
17643,feature 207,1
17643,feature 164,1
17643,feature 170,3
17643,feature 86,1
17643,feature 54,3
17643,feature 48,1
17643,feature 207,1
17643,feature 164,1
17643,feature 170,3
17643,feature 86,1
17643,feature 54,3
17643,feature 48,1
17643,feature 207,1
17643,feature 164,1
17643,feature 170,3
17643,feature 86,1
17643,feature 54,3
17643,feature 48,1
17643,feature 207,1
17643,feature 164,1
17643,feature 170,3
17643,feature 86,1
17643,feature 54,3
17643,feature 48,1
17643,feature 207,1
17643,feature 164,1
17643,feature 170,3
17643,feature 86,1
17643,feature 54,3
17299,feature 306,1
17706,feature 170,1
17829,feature 54,1
17829,feature 170,1
17829,feature 54,1
17829,feature 170,1
17474,feature 219,1
17474,feature 301,1
17474,feature 134,1
17474,feature 219,1
17474,feature 301,1
17474,feature 134,1
17474,feature 219,1
17474,feature 301,1
17474,feature 134,1
17974,feature 82,7
17974,feature 203,7
17974,feature 82,7
17974,feature 203,7
18496,feature 82,14
18496,feature 203,10
18496,feature 82,14
18496,feature 203,10
16787,feature 203,21
16787,feature 82,51
16787,feature 203,21
16787,feature 82,51
17727,feature 203,36
17727,feature 82,52
17727,feature 203,36
17727,feature 82,52
18088,feature 82,34
18088,feature 203,16
18088,feature 68,2
18088,feature 82,34
18088,feature 203,16
18088,feature 68,2
18088,feature 82,34
18088,feature 203,16
18088,feature 68,2
18081,feature 195,1
18081,feature 73,1
18081,feature 195,1
18081,feature 73,1
17489,feature 170,2
18540,feature 55,3
17544,feature 73,15
17544,feature 195,8
17544,feature 73,15
17544,feature 195,8
17674,feature 73,1
17674,feature 195,1
17674,feature 73,1
17674,feature 195,1
17946,feature 195,2
18216,feature 273,1
17113,feature 222,1
17113,feature 305,1
17113,feature 75,1
17113,feature 222,1
17113,feature 305,1
17113,feature 75,1
17113,feature 222,1
17113,feature 305,1
17113,feature 75,1
18223,feature 306,1
18223,feature 75,1
18223,feature 306,1
18223,feature 75,1
17964,feature 54,2
18107,feature 203,10
18107,feature 82,16
18107,feature 203,10
18107,feature 82,16
16760,feature 203,16
16760,feature 80,1
16760,feature 82,38
16760,feature 203,16
16760,feature 80,1
16760,feature 82,38
16760,feature 203,16
16760,feature 80,1
16760,feature 82,38
17026,feature 203,4
17026,feature 82,4
17026,feature 203,4
17026,feature 82,4
18429,feature 82,2
18429,feature 203,2
18429,feature 82,2
18429,feature 203,2
18368,feature 82,30
18368,feature 203,24
18368,feature 201,1
18368,feature 80,1
18368,feature 82,30
18368,feature 203,24
18368,feature 201,1
18368,feature 80,1
18368,feature 82,30
18368,feature 203,24
18368,feature 201,1
18368,feature 80,1
18368,feature 82,30
18368,feature 203,24
18368,feature 201,1
18368,feature 80,1
16672,feature 80,3
16672,feature 82,6
16672,feature 80,3
16672,feature 82,6
17954,feature 203,4
17954,feature 82,6
17954,feature 80,2
17954,feature 203,4
17954,feature 82,6
17954,feature 80,2
17954,feature 203,4
17954,feature 82,6
17954,feature 80,2
18324,feature 203,7
18324,feature 82,13
18324,feature 203,7
18324,feature 82,13
17308,feature 82,2
16876,feature 201,1
16876,feature 80,1
16876,feature 203,4
16876,feature 82,10
16876,feature 201,1
16876,feature 80,1
16876,feature 203,4
16876,feature 82,10
16876,feature 201,1
16876,feature 80,1
16876,feature 203,4
16876,feature 82,10
16876,feature 201,1
16876,feature 80,1
16876,feature 203,4
16876,feature 82,10
17195,feature 80,9
17195,feature 82,36
17195,feature 201,8
17195,feature 203,17
17195,feature 80,9
17195,feature 82,36
17195,feature 201,8
17195,feature 203,17
17195,feature 80,9
17195,feature 82,36
17195,feature 201,8
17195,feature 203,17
17195,feature 80,9
17195,feature 82,36
17195,feature 201,8
17195,feature 203,17
17298,feature 80,18
17298,feature 203,4
17298,feature 201,2
17298,feature 82,21
17298,feature 80,18
17298,feature 203,4
17298,feature 201,2
17298,feature 82,21
17298,feature 80,18
17298,feature 203,4
17298,feature 201,2
17298,feature 82,21
17298,feature 80,18
17298,feature 203,4
17298,feature 201,2
17298,feature 82,21
17396,feature 73,1
17396,feature 65,1
17396,feature 187,1
17396,feature 195,1
17396,feature 73,1
17396,feature 65,1
17396,feature 187,1
17396,feature 195,1
17396,feature 73,1
17396,feature 65,1
17396,feature 187,1
17396,feature 195,1
17396,feature 73,1
17396,feature 65,1
17396,feature 187,1
17396,feature 195,1
17799,feature 73,3
17799,feature 195,1
17799,feature 73,3
17799,feature 195,1
18221,feature 73,1
18221,feature 195,1
18221,feature 73,1
18221,feature 195,1
16783,feature 71,1
16783,feature 193,1
16783,feature 71,1
16783,feature 193,1
17828,feature 71,3
17828,feature 193,1
17828,feature 71,3
17828,feature 193,1
17064,feature 193,3
17064,feature 71,8
17064,feature 193,3
17064,feature 71,8
18334,feature 170,1
17403,feature 312,2
17311,feature 82,16
16786,feature 80,3
16786,feature 82,20
16786,feature 201,1
16786,feature 203,2
16786,feature 80,3
16786,feature 82,20
16786,feature 201,1
16786,feature 203,2
16786,feature 80,3
16786,feature 82,20
16786,feature 201,1
16786,feature 203,2
16786,feature 80,3
16786,feature 82,20
16786,feature 201,1
16786,feature 203,2
16820,feature 82,4
16820,feature 203,3
16820,feature 82,4
16820,feature 203,3
17588,feature 80,2
17588,feature 201,2
17588,feature 80,2
17588,feature 201,2
16806,feature 201,1
16806,feature 80,1
16806,feature 201,1
16806,feature 80,1
17509,feature 273,2
17509,feature 345,2
17509,feature 54,2
17509,feature 170,2
17509,feature 273,2
17509,feature 345,2
17509,feature 54,2
17509,feature 170,2
17509,feature 273,2
17509,feature 345,2
17509,feature 54,2
17509,feature 170,2
17509,feature 273,2
17509,feature 345,2
17509,feature 54,2
17509,feature 170,2
18177,feature 54,1
16714,feature 54,2
16714,feature 170,2
16714,feature 54,2
16714,feature 170,2
18475,feature 182,1
18475,feature 87,1
18475,feature 170,35
18475,feature 239,2
18475,feature 207,1
18475,feature 209,9
18475,feature 182,1
18475,feature 87,1
18475,feature 170,35
18475,feature 239,2
18475,feature 207,1
18475,feature 209,9
18475,feature 182,1
18475,feature 87,1
18475,feature 170,35
18475,feature 239,2
18475,feature 207,1
18475,feature 209,9
18475,feature 182,1
18475,feature 87,1
18475,feature 170,35
18475,feature 239,2
18475,feature 207,1
18475,feature 209,9
18475,feature 182,1
18475,feature 87,1
18475,feature 170,35
18475,feature 239,2
18475,feature 207,1
18475,feature 209,9
18475,feature 182,1
18475,feature 87,1
18475,feature 170,35
18475,feature 239,2
18475,feature 207,1
18475,feature 209,9
17158,feature 232,1
17158,feature 301,1
17158,feature 312,1
17158,feature 232,1
17158,feature 301,1
17158,feature 312,1
17158,feature 232,1
17158,feature 301,1
17158,feature 312,1
16744,feature 68,1
18534,feature 81,6
18534,feature 202,10
18534,feature 81,6
18534,feature 202,10
16782,feature 202,4
16782,feature 81,4
16782,feature 202,4
16782,feature 81,4
17887,feature 203,4
17887,feature 82,6
17887,feature 203,4
17887,feature 82,6
18053,feature 203,6
18053,feature 82,8
18053,feature 203,6
18053,feature 82,8
17384,feature 80,2
17384,feature 82,2
17384,feature 80,2
17384,feature 82,2
17325,feature 82,16
17325,feature 203,2
17325,feature 82,16
17325,feature 203,2
17683,feature 82,6
17683,feature 203,2
17683,feature 82,6
17683,feature 203,2
17523,feature 203,6
17523,feature 82,6
17523,feature 203,6
17523,feature 82,6
17543,feature 82,20
17632,feature 80,2
17693,feature 73,85
17693,feature 109,8
17693,feature 195,12
17693,feature 73,85
17693,feature 109,8
17693,feature 195,12
17693,feature 73,85
17693,feature 109,8
17693,feature 195,12
18279,feature 345,2
17657,feature 273,3
17657,feature 68,4
17657,feature 273,3
17657,feature 68,4
17294,feature 68,2
17294,feature 170,1
17294,feature 68,2
17294,feature 170,1
18349,feature 219,1
18349,feature 301,1
18349,feature 221,1
18349,feature 134,1
18349,feature 219,1
18349,feature 301,1
18349,feature 221,1
18349,feature 134,1
18349,feature 219,1
18349,feature 301,1
18349,feature 221,1
18349,feature 134,1
18349,feature 219,1
18349,feature 301,1
18349,feature 221,1
18349,feature 134,1
17136,feature 54,1
17136,feature 170,2
17136,feature 54,1
17136,feature 170,2
18144,feature 68,1
18144,feature 273,1
18144,feature 68,1
18144,feature 273,1
17225,feature 51,1
17225,feature 167,1
17225,feature 51,1
17225,feature 167,1
16853,feature 68,1
16853,feature 171,2
16853,feature 68,1
16853,feature 171,2
17320,feature 171,1
17320,feature 68,1
17320,feature 171,1
17320,feature 68,1
17941,feature 170,1
17941,feature 219,1
17941,feature 68,1
17941,feature 134,1
17941,feature 170,1
17941,feature 219,1
17941,feature 68,1
17941,feature 134,1
17941,feature 170,1
17941,feature 219,1
17941,feature 68,1
17941,feature 134,1
17941,feature 170,1
17941,feature 219,1
17941,feature 68,1
17941,feature 134,1
17221,feature 54,4
18274,feature 54,4
18274,feature 170,1
18274,feature 280,2
18274,feature 54,4
18274,feature 170,1
18274,feature 280,2
18274,feature 54,4
18274,feature 170,1
18274,feature 280,2
17122,feature 203,12
17122,feature 82,16
17122,feature 203,12
17122,feature 82,16
18276,feature 203,7
18276,feature 82,12
18276,feature 203,7
18276,feature 82,12
18410,feature 203,3
18410,feature 82,6
18410,feature 203,3
18410,feature 82,6
17447,feature 82,20
17447,feature 203,2
17447,feature 82,20
17447,feature 203,2
16716,feature 172,1
16716,feature 82,4
16716,feature 172,1
16716,feature 82,4
18384,feature 203,7
18384,feature 82,19
18384,feature 203,7
18384,feature 82,19
17942,feature 203,6
17942,feature 82,12
17942,feature 203,6
17942,feature 82,12
16929,feature 47,2
17257,feature 54,17
17257,feature 170,3
17257,feature 54,17
17257,feature 170,3
17855,feature 206,2
17855,feature 54,5
17855,feature 170,3
17855,feature 206,2
17855,feature 54,5
17855,feature 170,3
17855,feature 206,2
17855,feature 54,5
17855,feature 170,3
17933,feature 227,1
17933,feature 232,1
17933,feature 227,1
17933,feature 232,1
17932,feature 195,2
17932,feature 73,2
17932,feature 195,2
17932,feature 73,2
17341,feature 70,1
18159,feature 68,1
17878,feature 188,1
17878,feature 74,3
17878,feature 66,1
17878,feature 196,3
17878,feature 188,1
17878,feature 74,3
17878,feature 66,1
17878,feature 196,3
17878,feature 188,1
17878,feature 74,3
17878,feature 66,1
17878,feature 196,3
17878,feature 188,1
17878,feature 74,3
17878,feature 66,1
17878,feature 196,3
17052,feature 68,8
17052,feature 54,1
17052,feature 68,8
17052,feature 54,1
17590,feature 280,1
16914,feature 54,5
16914,feature 170,5
16914,feature 54,5
16914,feature 170,5
18178,feature 360,2
18178,feature 362,2
18178,feature 360,2
18178,feature 362,2
17107,feature 170,1
17107,feature 54,2
17107,feature 170,1
17107,feature 54,2
